id,Beer_Name,Brew_Factory_Name,Style,ABV
55,Legends of the Bay Giant_s Tomb,Hockley Valley Brewing & Malting Company,Amber Ale,5
56,Half Acre Ginger Twin India Red Ale,Half Acre Beer Company,India Pale Ale &#40; IPA &#41;,7
57,Oakshire Ride Your Bike Double Red Ale,Oakshire Brewing,Amber Ale,8.60
58,Begyle Pancake Junkie,Begyle Brewing Company,Amber Ale,7.20
59,Naked City Screening Room Red,Naked City Brewing,India Pale Ale &#40; IPA &#41;,7
60,Block 15 Ridgeback Red,Block 15 Brewery,Amber Ale,6.50
61,Du Lac Saint-Jean Boutefeu,Microbrasserie du Lac Saint-Jean,Amber Ale,5.10
62,Generations Pretzel City Amber,Generations Brewing Company,Amber Ale,5.10
63,Marble Imperial Red Ale,Marble Brewery,American Strong Ale,9
64,Wynwood Fox Imperial Red Ale,Wynwood Brewing Company,American Strong Ale,7.70
65,8th Wonder Coffee Mocha Feight,8th Wonder Brewery,Amber Ale,
66,Old Rail Rusted Rail Ale,Old Rail Brewing Company,Amber Ale,5.40
67,Black Rock Anthracite Ale,Black Rock Brewing Company,American Pale Ale,
68,Paradox Red Ale,Paradox Brewery,Amber Ale,5
69,Brewers Art Scarlet Fever,The Brewers Art,Sour/Wild Ale,3.25
70,Bricktown 46 Star Oklahoma Amber Ale,Bricktown Brewery,Amber Ale,
71,Franklins Rubber Chicken Red Ale,Brewery & General Store,Amber Ale,5
72,Falling Sky Retrograde Red,Falling Sky Brewing,Amber Ale,6.30
73,18th Street Barrel Aged Cock Fight,18th Street Brewery,Belgian Ale,5.50
74,Anderson Valley Pinchy Jeek Barl,Anderson Valley Brewing Company,Spice/Herb/Vegetable,8.50
75,Ladyface Reyes Adobe Imperial Red,Ladyface Ale Companie,American Strong Ale,10.80
76,Town Hall Festivus 2014,Minneapolis Town Hall Brewery,Irish Ale,6.10
77,Colorado Mountain Ole 59er Amber Ale,Colorado Mountain Brewery,Amber Ale,5.20
78,Echo Indian Red Ale,Echo Brewing Company,Irish Ale,
79,Mother Earth Righteously Hopped Red IPA,Mother Earth Brew Company,India Pale Ale &#40; IPA &#41;,6
80,Bike Dog Lost and Found,Bike Dog Brewing Company,Black IPA,4.90
81,Big Bear Grizzly Red Ale,Big Bear Brewing Company,Amber Ale,5.80
82,Middleton Bobcat Imperial Red,Middleton Brewing,American Strong Ale,8.10
83,City Star Red Necktar,City Star Brewing,Amber Ale,6
84,Brass Cannon Muzzle Flash Amber Ale,Brass Cannon Brewing,Amber Ale,5.80
85,Five Points Hook Island Red,Five Points Brewing Company,Amber Ale,6
86,Beaus Haters Gon na Hate,Beaus All Natural Brewing Co. .,KÃ ¶ lsch,8
87,American Sky Bomber Series # 3 - Red Tail Oktoberfest,Hudson Brewing Company,Oktoberfest/M Ã $ rzen,5.60
88,Ocho Reales Ale,Sierra Madre Brewing Co. ( Mexico ),Brown Ale,5
89,American Sky Amber Salute,Hudson Brewing Company,Amber Ale,5.50
90,Lagunitas Imperial Red Ale,Lagunitas Brewing Company &#40; Heineken &#41;,American Strong Ale,7.80
91,Blue Moon Spiced Amber Ale,Coors Brewing Company &#40; MillerCoors &#41;,Spice/Herb/Vegetable,5.60
92,Burnside Too Sticky to Roll,Burnside Brewing Company &#40; OR &#41;,India Pale Ale &#40; IPA &#41;,6.20
93,Angry Chair Let My Peaches Be,Angry Chair Brewing,Sour/Wild Ale,5
94,River City &#40; CA &#41; Woodenhead Ale,River City &#40; CA &#41; Brewing,Amber Ale,7.20
95,Uncle Billys Hill Country Organic Amber,Uncle Billys Brew & Que Smokehouse & Brewery,Amber Ale,5.10
96,Chama River Sunset Red,Chama River Brewing Company,Amber Ale,6.10
97,Three Heads Loopy Oatmeal Red Ale,Custom Brewcrafters,Amber Ale,6.60
98,Anacortes Especial Red Ale,Rockfish Grill & Anacortes Brewery,Amber Ale,4.20
99,Liberty High Point Rocket_s Red Ale,Liberty Brewery & Grill - High Point,Irish Ale,
100,Blue Dog Red Collar Mead,Blue Dog Mead Company,Mead,12
101,Crooked Can Captain McSwaggers,Crooked Can Brewing Company,Stout,5
102,Dragonmead Crooked Door Amber Ale,Dragonmead Brewery,Amber Ale,5
103,Lilys Reggies French River Red Ale,Lilys Seafood Restaurant & Brewery,Amber Ale,5.80
104,Avery Red Table Common,Avery Brewing Company,California Common,5.10
105,Bristol Skull & Bones Flanders Red,Bristol Brewing Company,Sour Red/Brown,
106,Barley Forge El Paisano,Barley Forge Brewing Company,Amber Ale,5.70
107,Alpine Dog Hogback Amber Ale,Alpine Dog Brewery,Amber Ale,5.25
108,Gold Camp Georgia_s Agave Amber Ale,Gold Camp Brewing Company,Amber Ale,5.50
109,Area 51 Planet Red Ale,Area 51 Craft Brewery,German Hefeweizen,5.50
110,Columbus Kashmir,Columbus Brewing Company,Amber Ale,5.50
111,Bull City Reel Amber,Bull City Burger and Brewery,Amber Ale,
112,Solvang Dansk Amber Ale,Solvang Brewing Company,Amber Ale,6.20
113,Peak Organic Espresso Amber Ale,Shipyard Brewing Company,Amber Ale,6.80
114,Adirondack Bobcat Blonde Lager,Adirondack Pub and Brewery,Golden Ale/Blond Ale,3.80
115,San Luis Valley Alamosa Amber,San Luis Valley Brewing Company,Amber Ale,5
116,Roundabout Rusted Route Amber Ale,Roundabout Brewery,Amber Ale,5.10
117,Iron Hill Big Rye Wibby,Iron Hill Lancaster,American Strong Ale,7
118,4 Hands Vigilante,4 Hands Brewing Company,Amber Lager/Vienna,5
119,Boxing Cat Dragons Fire Doppelbock,Boxing Cat Brewery,Doppelbock,8
120,Hamburg House Dressing,Hamburg Brewing Company,Amber Ale,5
121,Green Man Blood of My Enemies,Green Man Brewery,Amber Ale,7
122,Allendale Evening Chronicle Christmas Beer,Allendale,Bitter,3.60
123,14th Star Maple Session Brown Ale,14th Star Brewing Company,Brown Ale,4.50
124,Laguna Beach Grateful Red Imperial Red Ale,Laguna Beach Brewing,American Strong Ale,11
125,Kettle House Lake Missoula Amber,Kettle House Brewing Company,Amber Ale,5.50
126,5 Seasons North Ossabaw Island Ale,5 Seasons North,Belgian Strong Ale,
127,Yeastie Boys Hud-a-wa _ Strong,Invercargill Brewery,Scottish Ale,6.80
128,Haymarket Jananna Dance Red Headed Ale,Haymarket Pub & Brewery,Amber Ale,5.50
129,Independence Brewing ROOD,Independence Brewing Co. .,India Pale Ale &#40; IPA &#41;,6
130,Abbeydale Moonshine,Abbeydale,Golden Ale/Blond Ale,4.30
131,Lawson_s Finest Equinox Extra XPA,Lawson_s Finest Liquids,American Strong Ale,7.10
132,Woodcock Brothers Amber Ale # 1,Woodcock Brothers Brewing Company,Amber Ale,4.10
133,Blind Tiger Little Red Corvette,Blind Tiger,Amber Ale,6.40
134,Modus Operandi Former Tenant,Modus Operandi Brewing Co. .,India Pale Ale &#40; IPA &#41;,7.10
135,Glasstown Founders Ale,Glasstown Brewing Company,American Strong Ale,6.90
136,Mountain Toad Apex Amber,Mountain Toad Brewing,Amber Ale,6.60
137,DaDo Bier Red Ale,DaDo Bier,Belgian Ale,5.30
138,Coalition Simple India Style Session Ale,Coalition Brewing,Session IPA,4
139,Downtown Joes Tail Waggin Amber Ale,Downtown Joes Restaurant & Brewery,Amber Ale,5.60
140,Alexander Keiths Red &#40; Amber Ale &#41;,Oland Brewery &#40; AB-InBev &#41;,Amber Ale,5
141,Denizens Big Red Norm,Denizens Brewing Company,Amber Ale,7.60
142,Coastal Empire Southern Delight,Coastal Empire Beer Co. .,Amber Ale,5.20
143,Big Island / Caldera Red Sea Imperial Red Gose,Big Island Brewhaus,American Strong Ale,8.80
144,Blue Pants Big & Tall # 2 : Barrel Aged Belgian Red,Blue Pants Brewery,Amber Ale,9
145,Roosters Brewing Two-Bit Amber,Roosters Brewing Co. &#40; US &#41;,Amber Ale,4
146,51st Ward Conscious Sedation,Church Street Brewing Company,Brown Ale,8
147,Great Baraboo Snake Eye Canyon Red Ale,Great Baraboo Brewing Company,Amber Ale,5.20
148,Bold City European Street Cafe Lamp Post Ale,Bold City Brewery,Amber Ale,
149,River Horse Special Ale,River Horse Brewing Company,Amber Ale,5.50
150,Adkin Alfred_s Galaxy,Adkin,Golden Ale/Blond Ale,4
151,Boxing Cat Ringside Red,Boxing Cat Brewery,Amber Lager/Vienna,5
152,Cucamonga Jacked Up Red,Cucamonga Brewing Company,American Strong Ale,8
153,North Star Horizons Amber Ale,North Star Craft Brewery,Amber Ale,5.50
154,3 Stars Lime Basil Saison &#40; Coconut &#41;,3 Stars Brewing Company,Saison,4.20
155,White Lion Insane Mane Red Ale,Ipswich Ale Brewery,Amber Ale,
156,Elk Rock Velvet Antler Amber Ale,Portland Brewing Company &#40; Pyramid - North American Breweries &#41;,Amber Ale,4
157,Abita Mint Julep Turbodog,Abita Brewing Company,Brown Ale,7
158,Sockeye Angels Perch Amber,Sockeye Brewing,Amber Ale,4.50
159,Crazy Mountain Amber Ale,Crazy Mountain Brewing Company,Amber Ale,5.20
160,Double Barley Give _ Em Hell,Double Barley Brewing,American Strong Ale,10.40
161,Old Schoolhouse Blazing Amber,Old Schoolhouse Brewery,Amber Ale,6.80
162,Pizza Boy Journeymen,Pizza Boy Brewing,Amber Ale,4.50
163,Adnams / Devils Backbone American Amber,Adnams,Amber Ale,4.80
164,350 El Scorcho Belgian Amber,350 Brewing Company,Belgian Ale,6.60
165,Kingdom Round Barn Red,Kingdom Brewing,Amber Ale,5.50
166,Kassiks Orion_s Quest Red Ale,Kassiks Brewery,Amber Ale,6.80
167,Lynnwood Bill & Ted_s Excellent Amber,Lynnwood Grill & Brewing Concern,Amber Ale,5
168,Lakewood Manimal,Lakewood Brewing Company,Amber Ale,6.50
169,Fair Winds Running Light Red,Fair Winds Brewing Company,Belgian Ale,6
170,Blind Tiger Holy Grail Pale Ale,Blind Tiger,American Pale Ale,
171,Prescott Manzanita Red,Prescott Brewing Company,Amber Ale,5.10
172,Tahoe Mountain Ranch Dog Red,Tahoe Mountain Brewing Company,Amber Ale,7
173,Vancouver Island High Trail Honey Ale,Vancouver Island Brewery,Amber Ale,5
174,Bottle Logic Imperial REDioactive,Bottle Logic Brewing,American Strong Ale,8.60
175,Books & Brews Shogun Soba Ale,Books & Brews,Specialty Grain,5.10
176,Island Hoppin _ Old Madrona,Island Hoppin _ Brewery,American Strong Ale,8
177,Modern Times Mega Blazing World,Modern Times Beer,Imperial IPA,8.50
178,5 Seasons Big Horn Bock,5 Seasons Brewing Company,Dunkler Bock,
179,Squatters Respect Your Mother Organic Amber Ale,Squatters Craft Beers,Amber Ale,4
180,Birrificio Trunasse Zoe,ZOE - Birrificio Trunasse,Golden Ale/Blond Ale,5.50
181,Coronado Monk In Tha Trunk,Coronado Brewing Company,Belgian Ale,4.80
182,Jackie O_s Smoke Ya Oats,Jackie O_s Pub & Brewery,Smoked,6.30
183,Bog Iron Slap Happy Rye Amber,Bog Iron Brewing,Amber Ale,5.80
184,Harvest Moon OQ Coffee Porter &#40; Frangelico Coffee w / Hazelnut &#41;,Harvest Moon Brewery &#40; NJ &#41;,Porter,
185,Amnesia Crystal Red Ale,Amnesia Brewing,Amber Ale,6
186,Twelve Bar Brews Turnaround Northwest Red Ale,Twelve Bar Brews,Amber Ale,5.70
187,Wicked Weed Wicked Tea Party,Wicked Weed Brewing,Amber Ale,4.80
188,Tap Room No. 21 Moe_s Backroom Amber Ale,Genesee Brewing Company &#40; North American Breweries &#41;,Amber Ale,5.70
189,Brodies Shoreditch Sunshine,Brodies,Golden Ale/Blond Ale,3.80
190,Bloodline Through Silver In Blood Red Ale,Bloodline Brewing Company,Amber Ale,6
191,8 Wired Mighty Imperial Ale,Renaissance Brewing,American Strong Ale,11
192,Coombe Martin Hangmans Bitter,Combe Martin,Premium Bitter/ESB,4.50
193,Seven Brides Emily_s Ember,Seven Brides Brewing Company,Amber Ale,4.50
194,Founders Barrel Aged Red_s Rye,Founders Brewing Company,Specialty Grain,9.20
195,Bagby Hop Whompus,Bagby Beer Company,American Strong Ale,9.50
196,Crank Arm Reflector,Crank Arm Brewing,Irish Ale,5.30
197,Kirkland Signature Amber Ale,F.X. Matt Brewing Company,Amber Ale,5.70
198,Banks Amber Ale,Banks Barbados Brewery,Golden Ale/Blond Ale,5
199,Glutenberg 8,Glutenberg Craft Brewery,Specialty Grain,5
200,JoBoy_s Manheim Red,JoBoy_s Brew Pub,Amber Ale,5.20
201,7 Seas Ballz Deep Double IPA,7 Seas Brewing,Imperial IPA,8
202,Firestorm Red Angel,WharfeBank,Amber Ale,5
203,Granite Falls Bushfire American Red Ale,Granite Falls Brewing Company,Amber Ale,5
204,Il Vicino Dougie Style Amber,Canteen Brewhouse &#40; was Il Vicino Pizzeria and Brewery &#41;,Amber Ale,5.90
205,Red Duck Hoppy Amber,Purrumbete Brewing,Amber Ale,5.60
206,Imperial Oak Roil Red,Imperial Oak Brewing,Amber Ale,6.20
207,Black Forest Brau Keller Grateful Red,Black Forest Brau Keller,Amber Ale,5
208,Parallel 49 Gypsy Tears Ruby Ale,Parallel 49 Brewing Company,Amber Ale,6
209,Brew Bus Rollin Dirty Red Ale - Cedar Aged,Cigar City Brewing,Irish Ale,5
210,Fuggles & Warlock Hyper Combo Red Rye IPA,Dead Frog Brewery,American Strong Ale,8
211,American Honor Declaration Ale,Lion Brewery,American Pale Ale,5.40
212,Bilbos Dragon Red Ale,Bilbos Pizza In A Pan,Irish Ale,
213,Americas American Red Ale,Americas Brewpub,Amber Ale,
214,Phat Matt_s Red Ale,Phat Matt_s Brewing Company,Amber Ale,6.50
215,Seabright Sacrilicious Ale,Seabright Brewery,American Strong Ale,6.80
216,Good People Stepchild Belgian India Red Ale,Good People Brewing Company,India Pale Ale &#40; IPA &#41;,7.80
217,Black Sky Imperial Petal to the Metal,Black Sky Brewery,Spice/Herb/Vegetable,9
218,Phillips Double Dragon Imperial Red Ale,Phillips Brewing Co. .,American Strong Ale,8.20
219,Blue Corn &#40; Santa Fe &#41; Atalaya Amber Ale,Blue Corn Brewery &#40; Santa Fe &#41;,Amber Ale,5.20
220,Fitgers Daisy Ale,Fitgers Brewhouse,Amber Ale,6.10
221,Council Rock Sleeping Lion Red Ale,Council Rock Brewery,Irish Ale,6
222,Kootenay True Ale,Columbia Brewery &#40; Labatt-InBev &#41;,Amber Ale,5
223,Gonzo_s BiggDogg Burning Sun Redd,Gonzo_s BiggDogg Brewing,Amber Ale,5
224,Ballast Point Calico Amber Ale - Coffee,Ballast Point Brewing Company,Amber Ale,5.50
225,Abbey Cardinal Sin,Abbey Ales,English Strong Ale,6
226,Alameda Brickhouse Brown,Alameda Brewing Co. .,Brown Ale,5.20
227,101 Hook Tender Honey Brown Ale,101 Brewery & Twana Roadhouse,Brown Ale,5.50
228,Amsterdam X Indie Alehouse Shapeshifter,Amsterdam Brewing Company,American Strong Ale,9
229,Anacapa Santa Rosa Red,Anacapa Brewing Company,Amber Ale,6.20
230,Kuhnhenn Irreverent,Kuhnhenn Brewing,Belgian Strong Ale,10
231,Spoonwood Cold Drip City,Spoonwood Brewery,Amber Ale,5.80
232,L_Olmaia La 9,L_Olmaia,Belgian Ale,6.50
233,Pisgah Ryan_s Red Ale,Pisgah Brewing Company,Irish Ale,5
234,BARTS Cardinal Red Ale,BARTS Brewpub,Amber Ale,5.50
235,The Brew Gentlemen Business Casual,The Brew Gentlemen Beer Company,American Strong Ale,8.40
236,Angelic Big Red Ale,Angelic Brewing Company,Irish Ale,
237,Park Tavern Olmsted Amber,Park Tavern Brewery,Amber Ale,
238,Les Brasseurs du Hameau d_Ham-Sud Rousse Bitter,Les Brasseurs du Hameau,Bitter,5.50
239,B.O.B. Crimson King,The B.O.B.s House of Brews,Amber Ale,5
240,Deep Cove Small Victories,Deep Cove Brewers,Belgian Strong Ale,9
241,Claremont Craft Ales Dis-Roble_d,Claremont Craft Ales,Amber Ale,6.50
242,Black Swan Cherrywood Smoked Porter,Black Swan Brewpub,Porter,5.10
243,Central Coast Topless Amber,Central Coast Brewing,Bitter,4.20
244,Broken Tooth Northern Lights Amber,Broken Tooth Brewing Company,Amber Ale,4.70
245,Alpine Dog Black Rye Session Pale Ale,Alpine Dog Brewery,Specialty Grain,4.50
246,Cigar City IWCB Unite,Cigar City Brewing,Amber Ale,6.20
247,_ La FÃ '' t La Rousse Rustre,_ La FÃ '' t,Amber Ale,4.80
248,5 Seasons Westside The Huntsman,5 Seasons Westside,Bitter,
249,Stallhagen US Red Ale,Stallhagen,Amber Ale,6
250,Assawoman Bay Coastal Edge Copper,Assawoman Bay Brewing Company,Amber Ale,6.04
251,75th Street Red Eye Rye,75th Street Brewery,Specialty Grain,5.50
252,Siren Batch 200 Liquid Monstrous,Siren,Imperial IPA,8.20
253,Cambridge Red God IPA,Cambridge Brewing Company,Imperial IPA,9
254,Cool Springs Fatback Amber Ale,Cool Springs Brewing Company,Amber Ale,
255,Gilgamesh Pumphouse Copper Ale,Gilgamesh Brewing,Amber Ale,4.50
256,Karl Strauss Red Trolley Ale,Karl Strauss Brewing Company,Irish Ale,5.80
257,Broken Bow Red Ale,Broken Bow Brewery,Irish Ale,5.50
258,Breakwater Railslide Red,Breakwater Brewing Company,Amber Ale,5.70
259,1933 Oktoberfest,1933 Brewing Company,Oktoberfest/M Ã $ rzen,6
260,La Jolla Brewhouse Blue Whale Pale Ale,La Jolla Brewhouse,American Pale Ale,5.20
261,House Ales Crack of Noon,House Ales,Stout,7
262,Squam Asquam Amber Ale,Squam Brewing,Amber Ale,5
263,Jumping Cow Amber Ale,August Schell Brewing Company,Amber Ale,5.50
264,Big Wood Stump Splitter : Dates & Ginger,Big Wood Brewery,Belgian Ale,5.60
265,Baja Peliroja,Baja Brewing Co. .,Amber Ale,5.50
266,Angus MacDougals Scottish Red Ale,Cold Spring Brewery,Scottish Ale,5.20
267,Bonfire Vulcans Vienna Ale,Bonfire Bistro and Brewery,Amber Lager/Vienna,
268,Brady_s Absolutely Amber,Brady_s Brewhouse,Amber Ale,
269,Les BiÃ ¨ res de la Nouvelle-France Nouvelle-France Rouge,Les BiÃ ¨ res de la Nouvelle-France,Amber Ale,4.50
270,Cascade Lakes Angus MacDougals Amber,Cascade Lakes Brewing Co. .,Scottish Ale,5.70
271,Big Al Amber &#40; Tutta Bella &#41;,Big Al Brewing,Amber Ale,5.70
272,AC Golden Colorado Native Amber Lager,Coors Brewing Company &#40; MillerCoors &#41;,Amber Lager/Vienna,5.50
273,Casa Bruja Sir Francis Red Ale,Casa Bruja Brewing Co. .,Amber Ale,5.50
274,Bird Dog Maggie_s Cider Ale,Bird Dog Brewing,Cider,6.70
275,Goldstone Old Charmer,Goldstone,Golden Ale/Blond Ale,4.10
276,Budge Brothers Spokamber 509 Amber Ale,Budge Brothers Brewery,Amber Ale,4.50
277,Alaskan Taku River Red,Alaskan Brewing Company,Amber Ale,
278,Odell Mean Street Pumpkin Ale,Odell Brewing Company,Spice/Herb/Vegetable,5.40
279,Borderlands La Morena Brown Ale,Borderlands Brewing Company,Brown Ale,4.50
280,Fogbelt Hyperion Red Ale,Fogbelt Brewing Company,Amber Ale,7.20
281,Rush River The Unforgiven Amber Ale,Rush River Brewing Company,Amber Ale,5.50
282,Grist House Camp Slap Red,Grist House Brewing,Amber Ale,6.20
283,Amager Hr . Frederiksen &#40; Colorado Whiskey Edition &#41;,Amager Bryghus,Imperial Stout,11
284,Ballast Point Calico Amber Ale - Rum Barrel Aged,Ballast Point Brewing Company,Amber Ale,5
285,Blue Tractor Smokehouse Amber,Blue Tractor BBQ & Brewery,Amber Ale,5
286,Uncle Billys Bitchin Camaro,Uncle Billys Brew & Que Smokehouse & Brewery,Amber Ale,
287,Aarhus Cains Triple A American Amber Ale,Aarhus Bryghus,Amber Ale,5.50
288,Deschutes Fire King IRA,Deschutes Brewery,Irish Ale,6.40
289,Lenny Boy No-Show Amber,Lenny Boy Brewing Company,Amber Ale,6
290,Adirondack Bear Naked Ale,Adirondack Pub and Brewery,Amber Ale,5
291,Mudhook Live Bait Amber Ale,Mudhook Brewing Company,Amber Ale,6
292,Auburn Alehouse Scarlet Harlot,Auburn Alehouse &#40; CA &#41;,Amber Ale,6.80
293,Sigtuna Red Ale,Sigtuna Brygghus,Amber Ale,6
294,Americas Aurora Amber Ale,Americas Brewpub,Amber Ale,4.99
295,Tahquamenon Falls Tannin Red,Tahquamenon Falls Brewery,Amber Ale,
296,Ladyface Agoura Ale,Ladyface Ale Companie,Amber Ale,6.70
297,Mornington Peninsula Imperial Amber,Mornington Peninsula Brewery,American Strong Ale,7.50
298,De Dochter van de Korenaar Noblesse Very Special Old Pale &#40; VSOP &#41;,De Dochter van de Korenaar,Belgian Ale,5.50
299,John Harvards Colonial Red,John Harvards Brewhouse Lake Grove,Amber Ale,
300,Carters Roundhouse Red Ale,Carters Brewing Co. .,Amber Ale,5.50
301,CraftHaus Unite Smokey Red,CraftHaus Brewery,Smoked,6
302,Bottle Logic Sunspear Saison,Bottle Logic Brewing,Saison,7
303,Triple C Imperial Smoked Amber,Triple C Brewing Company,Smoked,8.20
304,Alpha Golden Nugget Pale Ale,Alpha Brewing Company,American Pale Ale,5
305,Legends Jack Rabbit Red Ale,Legends Brewhouse & Eatery,Amber Ale,
306,Kallholmen Levande Ale,SkellefteÃ ¥ Bryggeri,English Pale Ale,5.30
307,Uberach Doigt de Dieu,Uberach,BiÃ ¨ re de Garde,4.80
308,John Harvards Golden Honey Ale,John Harvards Brewhouse Lake Grove,Golden Ale/Blond Ale,
309,LuPine Convocation Tea Ale,LuPine Brewing Company,Spice/Herb/Vegetable,6.70
310,Jukebox Jazz,Brasseur De MontrÃ © al,Amber Ale,5
311,Ahnapee Little Soldier,Ahnapee Brewery,Amber Ale,
312,23rd Street Crimson Phog Irish Ale,23rd Street Brewery,Irish Ale,6.10
313,Stagecoach Amber Ale,Mantorville Brewing Co,Amber Ale,5.30
314,Prohibition Sweet Biscuit Amber Ale &#40; SBA &#41;,Prohibition Brewing &#40; California &#41;,Amber Ale,7
315,4 Pines Christmas Ale 2012,4 Pines Brewing Company,Saison,5.20
316,Thirsty Pagan North Coast Amber Ale,Thirsty Pagan Brewing,Amber Ale,
317,Clown Shoes Rexx,Ipswich Ale Brewery,American Strong Ale,12
318,El Toro Peach Flavored Ale,El Toro Brewing Co. .,Fruit Beer,
319,Shades of Pale Ready to Fly,Shades of Pale Brewing Company,Amber Ale,4
320,Black Dog / Eel River EelDog Muscat Mongrel,Black Dog Brewery,Barley Wine,9.50
321,Barley Mow Lamp Lighter Amber,Barley Mow Brewing Company,Amber Ale,6
322,Flagstaff Agassiz Amber,Flagstaff Brewing Company,Amber Ale,5.75
323,Redline 501 Golden Ale,Redline Brewhouse,Golden Ale/Blond Ale,4.20
324,Fiddlehead Mellow Mike,Fiddlehead Brewing Company,Amber Ale,5.20
