id,Song_Name,Artist_Name,Album_Name,Genre,Price,CopyRight,Time,Released
22,I Need Somebody Tonight ( feat . Thelma Houston ) [ Audiowhores Remix ],Joey Negro,Hed Kandi Ibiza 2013,"Dance , Music",$ 1.29,2013 Hed Kandi Records,3:08,15-Jul-13
23,This Is What Makes Us Girls,Lana Del Rey,Born To Die,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,6-Aug-13
24,This Is What Makes Us Girls,Lana Del Rey,Born To Die,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,6-Aug-13
25,Summertime Sadness ( Lana Del Rey vs. Cedric Gervais ) [ Cedric Gervais Extended Remix ],Lana Del Rey & Cedric Gervais,Summertime Sadness ( Lana Del Rey vs. Cedric Gervais ) [ Cedric Gervais Extended Remix ] - Single,"Alternative , Music , Dance , Rock , Adult Alternative , Electronic",$ 1.29,2014 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,6:52,25-Feb-14
26,Blue Jeans ( Penguin Prison Remix ),Lana Del Rey,Blue Jeans ( Remixes ) - EP,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:36,1-May-12
27,Ultraviolence ( Hook N Sling Remix ),Lana Del Rey,Ultraviolence ( Hook N Sling Remix ) - Single,"Alternative , Music",$ 1.29,2015 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:29,15-Feb-15
28,Blue Jeans ( Penguin Prison Remix ),Lana Del Rey,Blue Jeans ( Remixes ) - EP,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:36,1-May-12
29,West Coast ( MK Remix ),Lana Del Rey,West Coast ( Remix EP ),"Alternative , Music , Rock",$ 1.29,2014 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:26,13-Jul-14
30,Face Down Earth ( HK Tropical House Edit ) [ Urban Contact Remix ],Olympique,Hed Kandi Tropical House,"Dance , Music",$ 1.29,2015 Hed Kandi Records/Ministry of Sound Recordings Ltd,3:26,3-May-15
31,Video Games ( We DonŠ -- Èt Belong In Pacha Remix ),Lana Del Rey,Video Games Remixes - EP,"Alternative , Music , Rock , Adult Alternative",$ 0.99,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:19,28-Feb-12
32,Video Games ( We DonŠ -- Èt Belong In Pacha Remix ),Lana Del Rey,Video Games Remixes - EP,"Alternative , Music , Rock , Adult Alternative",$ 0.99,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:19,28-Feb-12
33,This Is What Makes Us Girls,Lana Del Rey,Born To Die,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,6-Aug-13
34,This Is What Makes Us Girls,Lana Del Rey,Born To Die,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,6-Aug-13
35,This Is What Makes Us Girls,Lana Del Rey,Born To Die,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,6-Aug-13
36,West Coast ( MK Remix ),Lana Del Rey,West Coast ( Remix EP ),"Alternative , Music , Rock",$ 1.29,2014 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:26,13-Jul-14
37,This Is What Makes Us Girls,Lana Del Rey,Born To Die,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,6-Aug-13
38,This Is What Makes Us Girls,Lana Del Rey,Born To Die,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,6-Aug-13
39,Wasting Time ( HK Deep Disco Edit ),Lucas Nord,Hed Kandi : Deep Disco,"Dance , Music",$ 1.29,2014 Hed Kandi Records/Ministry of Sound Recordings Ltd,4:04,25-Jan-15
40,Bring Me Joy ( HK Miami 2015 Edit ),DJ Eibhlin,Hed Kandi Miami 2015,"Dance , Music",$ 1.29,2015 Hed Kandi Records/Ministry of Sound Recordings Ltd,4:44,22-Feb-15
41,Blue Jeans ( Penguin Prison Remix ),Lana Del Rey,Blue Jeans ( Remixes ) - EP,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:36,1-May-12
42,Video Games ( Omid 16B Instrumental Reprise ),Lana Del Rey,Blue Jeans Omid 16B Remixes,"Dance , Music , Rock , Adult Alternative",$ 1.29,2013 Alola Records,2:35,21-Jan-13
43,This Is What Makes Us Girls,Lana Del Rey,Born To Die,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,6-Aug-13
44,This Is What Makes Us Girls,Lana Del Rey,Born To Die,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,6-Aug-13
45,Tropico,Lana Del Rey,Tropico - Single,"Alternative , Music",Album Only,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,27:07:00,6-Dec-13
46,Ride ( Lyla 's Surprise ) [ James Lavelle Remix ],Lana Del Rey,Ride ( Remixes ),"Alternative , Music , Rock",$ 1.29,2012 Polydor Ltd. ( UK ),8:13,19-Nov-12
47,Ride ( Lyla 's Surprise ) [ James Lavelle Remix ],Lana Del Rey,Ride ( Remixes ),"Alternative , Music , Rock",$ 1.29,2012 Polydor Ltd. ( UK ),8:13,19-Nov-12
48,Video Games ( Omid 16B Instrumental Reprise ),Lana Del Rey,Blue Jeans Omid 16B Remixes,"Dance , Music , Rock , Adult Alternative",$ 1.29,2013 Alola Records,2:35,21-Jan-13
49,Video Games ( Omid 16B Instrumental Reprise ),Lana Del Rey,Blue Jeans Omid 16B Remixes,"Dance , Music , Rock , Adult Alternative",$ 1.29,2013 Alola Records,2:35,21-Jan-13
50,Video Games ( Omid 16B Instrumental Reprise ),Lana Del Rey,Blue Jeans Omid 16B Remixes,"Dance , Music , Rock , Adult Alternative",$ 1.29,2013 Alola Records,2:35,21-Jan-13
51,Video Games ( Omid 16B Instrumental Reprise ),Lana Del Rey,Blue Jeans Omid 16B Remixes,"Dance , Music , Rock , Adult Alternative",$ 1.29,2013 Alola Records,2:35,21-Jan-13
52,Video Games ( Omid 16B Instrumental Reprise ),Lana Del Rey,Blue Jeans Omid 16B Remixes,"Dance , Music , Rock , Adult Alternative",$ 1.29,2013 Alola Records,2:35,21-Jan-13
53,Video Games ( Omid 16B Instrumental Reprise ),Lana Del Rey,Blue Jeans Omid 16B Remixes,"Dance , Music , Rock , Adult Alternative",$ 1.29,2013 Alola Records,2:35,21-Jan-13
54,Over and Out ( Miami Sessions 2013 Edit ) [ Instrumental Mix ],Kink & Marc Romboy,Miami Sessions 2013 - Ministry of Sound,"Dance , Music",$ 1.29,2013 Ministry of Sound Recordings Limited,6:42,10-Mar-13
55,Twisted Sister ( Ibiza Sessions 2013 Edit ) [ DJ Hell 's Dehousing Berlin Mix ],M.A.N.D.Y.,Ibiza Sessions 2013 - Ministry of Sound,"Dance , Music",$ 1.29,2013 Ministry of Sound Recordings Limited,4:53,9-Jun-13
56,Summertime Sadness ( MK Lee Foss Cold Blooded Remix ),Lana Del Rey,Hed Kandi Beach House 2013,"Dance , Music",$ 1.29,2013 Hed Kandi Records,5:40,16-Jun-13
57,This Is What Makes Us Girls,Lana Del Rey,Born To Die,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,6-Aug-13
58,This Is What Makes Us Girls,Lana Del Rey,Born To Die,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,6-Aug-13
59,This Is What Makes Us Girls,Lana Del Rey,Born To Die,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,4:00,6-Aug-13
60,Falling ( Commited To Sparkle Motion ) [ Ibiza Annual 2013 Edit ] [ Axwell Radio Edit ],Discopolis,Ibiza Annual 2013 - Ministry of Sound,"Dance , Music",Album Only,2013 Ministry of Sound Recordings Ltd.,3:05,2-Sep-13
61,Tropico,Lana Del Rey,Tropico - Single,"Alternative , Music",Album Only,2013 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,27:07:00,6-Dec-13
62,Everything You Never Had ( We Had It All ) [ ESRR Edit ] [ feat . Andreya Triana ],Breach,"Eat , Sleep , Rave , Repeat - Ministry of Sound","Dance , Music",Album Only,2014 Ministry of Sound Recordings Ltd,2:43,10-Feb-14
63,West Coast ( MK Remix ),Lana Del Rey,West Coast ( Remix EP ),"Alternative , Music , Rock",$ 1.29,2014 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:26,13-Jul-14
64,Abandon Window ( TMATNB Edit ),Jon Hopkins,The Morning After the Night Before - Ministry of Sound,"Dance , Music , Electronic",$ 1.29,2014 Ministry of Sound Recordings Ltd,4:54,28-Sep-14
65,All of Me ( Ti ' âsto 's Birthday Treatment Remix - Radio Edit ),John Legend,"Now Party Anthems , Vol . 2","Pop , Music",Album Only,"This compilation ( P ) 2014 UMG Recordings , Inc. and Sony Music Entertainment",4:10,5-Aug-14
66,A Mother 's Prayer,C ' © line Dion,Gim me Shelter ( Original Soundtrack Album ),"Soundtrack , Music",Album Only,"2014 Day Twenty-Eight Films Apple , Llc Under Exclusive License To Milan Entertainment Inc.",3:41,11-Mar-14
67,This Is What It Feels Like ( feat . Trevor Guthrie ),Armin van Buuren,NOW That 's What I Call a Workout 3,"Fitness & Workout , Music",Album Only,"2013 UMG Recordings , Inc. and Sony Music Entertainment",3:23,17-Dec-13
68,Boy ( Mk Deep Dub ),K.E.L.S.E.Y.,Defected Presents House Masters - MK ( Second Edition ),"Dance , Music",$ 1.29,2013 Defected Records Limited,7:08,15-Nov-13
69,Deflowered ( Hieroglyphic Being Remix ),Special Request,Soul Music,"Dance , Music , Electronic , Rock , Jungle/Drum 'n' bass",$ 1.29,2013 Houndstooth,6:56,21-Oct-13
70,Addicted 2 the Bass ( EDM Euphoria 2013 Edit ) [ Daahype 's Trap VIP ],Wideboys,EDM Euphoria 2013,"Dance , Music",$ 1.29,2013 Euphoria,3:11,16-Sep-13
71,Bullet That Saved Me ( Pump It Up Edit ) [ feat . Underdown ] [ Festival Mix ],Tritonal,Pump It Up - Ultimate Dance Workout - Ministry of Sound,"Fitness & Workout , Music",$ 1.29,2013 Ministry of Sound Recordings Ltd.,3:50,8-Sep-13
72,Claire,Clarian & Guy Gerber,Chilled House Ibiza 2013 - Ministry of Sound,"Dance , Music",$ 1.29,2013 Ministry of Sound Recordings Limited,6:59,21-Jul-13
73,Night Light ( Running Trax Summer 60 Min Mix ) [ Joe Goddard Remix ],Jessie Ware,Running Trax Summer 2013 - Ministry of Sound,"Fitness & Workout , Music , Pop",$ 1.29,2013 Ministry of Sound Recordings Limited,5:31,8-Jul-13
74,RAC Radio ( Continuous DJ Mix ),RAC,Chapter One,"Electronic , Music , Dance",Album Only,2012 RAC Records,1:01:40,6-Nov-12
75,Hallelujah Anyway ( Larse Vocal Edit ),Candi Staton,Hed Kandi Nu Disco,"Dance , Music",Album Only,2012 Hed Kandi Records,3:03,23-Sep-12
76,Video Games ( We DonŠ -- Èt Belong In Pacha Remix ),Lana Del Rey,Video Games Remixes - EP,"Alternative , Music , Rock , Adult Alternative",$ 0.99,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:19,28-Feb-12
77,Video Games ( We DonŠ -- Èt Belong In Pacha Remix ),Lana Del Rey,Video Games Remixes - EP,"Alternative , Music , Rock , Adult Alternative",$ 0.99,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:19,28-Feb-12
78,Video Games ( We DonŠ -- Èt Belong In Pacha Remix ),Lana Del Rey,Video Games Remixes - EP,"Alternative , Music , Rock , Adult Alternative",$ 0.99,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:19,28-Feb-12
79,Blue Jeans ( Penguin Prison Remix ),Lana Del Rey,Blue Jeans ( Remixes ) - EP,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2012 Lana Del Rey under exclusive licence to Polydor Ltd. ( UK ) . Under exclusive licence to Interscope Records in the USA,5:36,1-May-12
80,DonŠ -- Èt Go ( feat . Josh Kumra ),Wretch 32,The Chillout Session - Ministry of Sound,"Pop , Music",$ 1.29,2012 Ministry of Sound Recordings Limited,3:57,2-Sep-12
81,Ride ( Lyla 's Surprise ) [ James Lavelle Remix ],Lana Del Rey,Ride ( Remixes ),"Alternative , Music , Rock",$ 1.29,2012 Polydor Ltd. ( UK ),8:13,19-Nov-12
82,Ride ( Lyla 's Surprise ) [ James Lavelle Remix ],Lana Del Rey,Ride ( Remixes ),"Alternative , Music , Rock",$ 1.29,2012 Polydor Ltd. ( UK ),8:13,19-Nov-12
83,Ride ( Lyla 's Surprise ) [ James Lavelle Remix ],Lana Del Rey,Ride ( Remixes ),"Alternative , Music , Rock",$ 1.29,2012 Polydor Ltd. ( UK ),8:13,19-Nov-12
84,Once Upon a Dream,Lana Del Rey,Maleficent ( Original Motion Picture Soundtrack ),"Soundtrack , Music",$ 1.29,2014 Walt Disney Records,3:20,27-May-14
85,Perfect,Selena Gomez,Revival ( Deluxe ),"Pop , Music , Rock",Album Only,2015 Interscope Records,4:02,
86,Perfect,Selena Gomez,Revival ( Deluxe ),"Pop , Music , Rock",Album Only,2015 Interscope Records,4:02,
87,Perfect,Selena Gomez,Revival ( Deluxe ),"Pop , Music , Rock",Album Only,2015 Interscope Records,4:02,
88,Perfect,Selena Gomez,Revival ( Deluxe ),"Pop , Music , Rock",Album Only,2015 Interscope Records,4:02,
89,Perfect,Selena Gomez,Revival ( Deluxe ),"Pop , Music , Rock",Album Only,2015 Interscope Records,4:02,
90,Perfect,Selena Gomez,Revival ( Deluxe ),"Pop , Music , Rock",Album Only,2015 Interscope Records,4:02,
91,Perfect,Selena Gomez,Revival ( Deluxe ),"Pop , Music , Rock",Album Only,2015 Interscope Records,4:02,
92,Perfect,Selena Gomez,Revival ( Deluxe ),"Pop , Music , Rock",Album Only,2015 Interscope Records,4:02,
93,Perfect,Selena Gomez,Revival ( Deluxe ),"Pop , Music , Rock",Album Only,2015 Interscope Records,4:02,
94,Perfect,Selena Gomez,Revival ( Deluxe ),"Pop , Music , Rock",Album Only,2015 Interscope Records,4:02,
95,Rise,Selena Gomez,Revival,"Pop , Music , Rock",Album Only,2015 Interscope Records,3:03,
96,Rise,Selena Gomez,Revival,"Pop , Music , Rock",Album Only,2015 Interscope Records,3:03,
97,Rise,Selena Gomez,Revival,"Pop , Music , Rock",Album Only,2015 Interscope Records,3:03,
98,Rise,Selena Gomez,Revival,"Pop , Music , Rock",Album Only,2015 Interscope Records,3:03,
99,Rise,Selena Gomez,Revival,"Pop , Music , Rock",Album Only,2015 Interscope Records,3:03,
100,Rise,Selena Gomez,Revival,"Pop , Music , Rock",Album Only,2015 Interscope Records,3:03,
101,Rise,Selena Gomez,Revival,"Pop , Music , Rock",Album Only,2015 Interscope Records,3:03,
102,Rise,Selena Gomez,Revival,"Pop , Music , Rock",Album Only,2015 Interscope Records,3:03,
103,Rise,Selena Gomez,Revival,"Pop , Music , Rock",Album Only,2015 Interscope Records,3:03,
104,This Is What It Feels Like ( feat . Trevor Guthrie ),Armin van Buuren,NOW That 's What I Call a Workout 3,"Fitness & Workout , Music",Album Only,"2013 UMG Recordings , Inc. and Sony Music Entertainment",3:23,17-Dec-13
105,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15
106,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15
107,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15
108,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15
109,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15
110,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15
111,Place of Love ( feat . Filburt ) [ MP Edit ],Good Guy Mikesh,Chilled House Session 2014 - Ministry of Sound,"Dance , Music",$ 1.29,2014 Ministry of Sound Recordings Ltd,5:42,16-Feb-14
112,Falling ( Commited To Sparkle Motion ) [ Ibiza Annual 2013 Edit ] [ Axwell Radio Edit ],Discopolis,Ibiza Annual 2013 - Ministry of Sound,"Dance , Music",Album Only,2013 Ministry of Sound Recordings Ltd.,3:05,2-Sep-13
113,The Renegade ( Addicted To Bass Winter 2013 Edit ),Friend Within,Addicted To Bass Winter 2013 - Ministry of Sound,"Dance , Music",Album Only,2013 Ministry of Sound Recordings Ltd.,2:18,30-Sep-13
114,Never Be Your Woman ( Solo UK Š -- ... Loves GarageŠ -- È Remix ) [ feat . Emeli Sand ' © ],Wiley & Naughty Boy,Never Be Your Woman ( Naughty Boy Presents ) [ feat . Emeli Sand ' © ] Š -- -- EP,"Dance , Music",$ 1.29,2010 The copyright in this sound recording is owned by Virgin Records Ltd,4:02,26-Feb-10
115,Never Be Your Woman ( Solo UK Š -- ... Loves GarageŠ -- È Remix ) [ feat . Emeli Sand ' © ],Wiley & Naughty Boy,Never Be Your Woman ( Naughty Boy Presents ) [ feat . Emeli Sand ' © ] Š -- -- EP,"Dance , Music",$ 1.29,2010 The copyright in this sound recording is owned by Virgin Records Ltd,4:02,26-Feb-10
116,Never Be Your Woman ( Solo UK Š -- ... Loves GarageŠ -- È Remix ) [ feat . Emeli Sand ' © ],Wiley & Naughty Boy,Never Be Your Woman ( Naughty Boy Presents ) [ feat . Emeli Sand ' © ] Š -- -- EP,"Dance , Music",$ 1.29,2010 The copyright in this sound recording is owned by Virgin Records Ltd,4:02,26-Feb-10
117,Never Be Your Woman ( Solo UK Š -- ... Loves GarageŠ -- È Remix ) [ feat . Emeli Sand ' © ],Wiley & Naughty Boy,Never Be Your Woman ( Naughty Boy Presents ) [ feat . Emeli Sand ' © ] Š -- -- EP,"Dance , Music",$ 1.29,2010 The copyright in this sound recording is owned by Virgin Records Ltd,4:02,26-Feb-10
118,Never Be Your Woman ( Solo UK Š -- ... Loves GarageŠ -- È Remix ) [ feat . Emeli Sand ' © ],Wiley & Naughty Boy,Never Be Your Woman ( Naughty Boy Presents ) [ feat . Emeli Sand ' © ] Š -- -- EP,"Dance , Music",$ 1.29,2010 The copyright in this sound recording is owned by Virgin Records Ltd,4:02,26-Feb-10
119,Here It Comes,Emeli Sand ' © & Rick Smith,Our Version of Events ( Deluxe Edition ),"Pop , Music , Rock , Singer/Songwriter , Contemporary Singer/Songwriter , Adult Contemporary",$ 1.29,2013 Virgin Records Ltd,7:40,8-Oct-13
120,Felt Mountain,Goldfrapp,Vampire Academy ( Music From the Motion Picture ),"Soundtrack , Music",Album Only,"2014 Universal Music Enterprises , a Division of UMG Recordings , Inc.",4:14,4-Feb-14
121,Everything You Never Had ( We Had It All ) [ ESRR Edit ] [ feat . Andreya Triana ],Breach,"Eat , Sleep , Rave , Repeat - Ministry of Sound","Dance , Music",Album Only,2014 Ministry of Sound Recordings Ltd,2:43,10-Feb-14
122,Drop the Game ( R&B Mixtape Edit ),Flume & Chet Faker,R&B Mixtape - Ministry of Sound,"R&B / Soul , Music",Album Only,2014 Ministry of Sound Recordings Ltd,3:42,23-Mar-14
123,Kick Out the Epic M ********** r ( Dada Life 2015 Epic Remix ),Dada Life,Dada Life Presents : Welcome to Dada Land,"Electronic , Music",$ 1.29,2015 So Bleeped AB,2:48,3-Mar-15
124,Gal a Bubble,Konshens,"Strictly the Best , Vol . 51","Reggae , Music",$ 1.29,"2014 VP Music Group , Inc",3:31,25-Nov-14
125,Everything You Never Had ( We Had It All ) [ ESRR Edit ] [ feat . Andreya Triana ],Breach,"Eat , Sleep , Rave , Repeat - Ministry of Sound","Dance , Music",Album Only,2014 Ministry of Sound Recordings Ltd,2:43,10-Feb-14
126,Smoke the Herb,Bounty Killer,Reggae Gold 2013,"Reggae , Music",$ 0.99,"2013 VP Music Group , Inc",3:06,23-Jul-13
127,Wrapped Up ( Live ),Olly Murs,Radio Disney Music Awards,"Pop , Music",Album Only,2015 Walt Disney Records,3:01,21-Apr-15
128,#Selfie,The Chainsmokers,The Duff ( Original Motion Picture Soundtrack ),"Soundtrack , Music",Album Only,"2015 2015 Island Records , a division of UMG Recordings , Inc. 1755 Broadway , New York , New York 10019 . Motion Picture Photos .",3:04,17-Feb-15
129,Stronger ( Back On the Ground ),Nick Jonas & The Administration,Who I Am,"Rock , Music , Pop , Teen Pop , Pop/Rock",$ 0.99,2010 Jonas Enterprises,4:54,2-Feb-10
